Movie_Title,Movie_ID,ListOfCertificate
Star Wars: Episode VII - The Force Awakens,2488496,PG-13
Spider-Man: Far from Home,6320628,"PG-13,TV-14"
Frozen,2294629,"TV-G,PG,TV-PG"
Transformers: Revenge of the Fallen,1055369,"TV-MA,PG-13"
Spider-Man,145487,"PG-13,TV-PG,TV-14"
Jurassic Park,107290,"PG-13,TV-PG"
Guardians of the Galaxy Vol. 2,3896198,PG-13
Harry Potter and the Deathly Hallows: Part 2,1201607,PG-13
Captain America: Civil War,3498820,PG-13
Wonder Woman,451279,PG-13
Jumanji: Welcome to the Jungle,2283362,PG-13
Toy Story 3,435761,G
Jurassic World: Fallen Kingdom,4881806,PG-13
The Lion King,110357,"G,TV-PG"
The Hunger Games,1392170,PG-13
Iron Man 3,1300854,PG-13
The Jungle Book,3040964,PG
Deadpool,1431045,"TV-MA,R"
Spider-Man 2,316654,"PG-13,TV-PG"
The Secret Life of Pets,2709768,"TV-G,PG"
The Passion of the Christ,335345,"TV-MA,R"
Despicable Me 2,1690953,"TV-G,PG,TV-PG"
The Lord of the Rings: The Return of the King,167260,PG-13
Star Wars: Episode III - Revenge of the Sith,121766,"PG-13,TV-14"
Finding Nemo,266543,"TV-PG,TV-G,TV-Y7,G"
Pirates of the Caribbean: Dead Man's Chest,383574,PG-13
The Hunger Games: Catching Fire,1951264,"PG-13,TV-14"
Toy Story 4,1979376,"G,TV-PG"
Frozen II,4520988,PG
The Dark Knight Rises,1345836,"PG-13,TV-14"
Shrek 2,298148,"TV-G,PG,TV-PG"
E.T. the Extra-Terrestrial,83866,"PG,TV-PG"
Captain Marvel,4154664,PG-13
Avengers: Age of Ultron,2395427,PG-13
Star Wars: Episode I - The Phantom Menace,120915,"PG,TV-PG"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",363771,"PG,TV-PG"
Man of Steel,770828,"PG-13,TV-PG"
Inside Out,2096673,"TV-G,PG,TV-PG"
Zootopia,2948356,"TV-G,PG,TV-PG"
Harry Potter and the Goblet of Fire,330373,PG-13
Star Wars: Episode V - The Empire Strikes Back,80684,"PG,TV-PG"
Harry Potter and the Order of the Phoenix,373889,PG-13
The Twilight Saga: Breaking Dawn - Part 2,1673434,PG-13
Inception,1375666,"PG-13,TV-14"
Up,1049413,"TV-G,PG"
The Sixth Sense,167404,"PG-13,TV-PG"
Harry Potter and the Half-Blood Prince,417741,PG
Harry Potter and the Deathly Hallows: Part 1,926084,PG-13
The Twilight Saga: New Moon,1259571,PG-13
The Twilight Saga: Eclipse,1325004,PG-13
Skyfall,1074638,PG-13
Star Wars: Episode II - Attack of the Clones,121765,"PG,TV-PG"
The Hobbit: An Unexpected Journey,903624,PG-13
Independence Day,116629,"PG-13,TV-14"
Pirates of the Caribbean: At World's End,449088,PG-13
Star Wars: Episode VI - Return of the Jedi,86190,"PG,TV-PG"
Iron Man 2,1228705,"PG-13,TV-14"
Pirates of the Caribbean: The Curse of the Black Pearl,325980,PG-13
Fantastic Beasts and Where to Find Them,3183660,"PG-13,TV-PG"
Beverly Hills Cop,86960,"R,TV-14"
X-Men: The Last Stand,376994,"PG-13,TV-G"
Shrek Forever After,892791,PG
War of the Worlds,407304,"PG-13,TV-14"
Brave,1217209,"PG,TV-PG"
Oz the Great and Powerful,1623205,PG
Ghostbusters,87332,"PG,TV-PG,TV-14"
My Big Fat Greek Wedding,259446,PG
Fast & Furious 6,1905041,PG-13
Pirates of the Caribbean: On Stranger Tides,1298650,PG-13
Twister,117998,"PG-13,TV-14"
Bruce Almighty,315327,PG-13
Transformers: Age of Extinction,2109248,PG-13
Toy Story 2,120363,G
Maleficent,1587310,PG
Cars,317219,"G,TV-G"
Moana,3521164,"PG,TV-PG"
Harry Potter and the Prisoner of Azkaban,304141,"PG,TV-PG"
Indiana Jones and the Raiders of the Lost Ark,82971,"PG,TV-PG,TV-14"
Men in Black,119654,PG-13
Kung Fu Panda,441773,"PG,TV-PG"
Dawn of the Planet of the Apes,2103281,PG-13
Wedding Crashers,396269,R
Venom: Let There Be Carnage,7097896,PG-13
Mission: Impossible - Ghost Protocol,1229238,PG-13
Sherlock Holmes,988045,PG-13
Coco,2380307,"TV-G,PG,TV-PG"
Fast Five,1596343,PG-13
300,416449,R
Back to the Future,88763,"PG,TV-PG"
It Chapter Two,7349950,R
Austin Powers in Goldmember,295178,PG-13
Venom,1270797,"TV-MA,PG-13"
X2: X-Men United,290334,"PG-13,TV-G,TV-14"
Mission: Impossible II,120755,"PG-13,TV-14"
A Star Is Born,1517451,R
The Lorax,1482459,"TV-G,PG,TV-PG"
Solo: A Star Wars Story,3778644,PG-13
Ocean's Eleven,240772,"PG-13,TV-14"
The Fugitive,106977,"PG-13,TV-14"
The Revenant,1663202,R
Batman Forever,112462,"PG-13,TV-14"
Pitch Perfect 2,2848292,PG-13
Dances with Wolves,99348,"PG-13,TV-PG"
Snow White and the Seven Dwarfs,29583,"G,TV-G"
Mr. & Mrs. Smith,356910,"PG-13,TV-14"
The Day After Tomorrow,319262,PG-13
Sherlock Holmes: A Game of Shadows,1515091,PG-13
Dunkirk,5013056,PG-13
Gladiator,172495,"R,TV-14"
Interstellar,816692,"PG-13,TV-PG,TV-14"
A Quiet Place,6644200,PG-13
The Croods,481499,"TV-G,PG"
Grease,77631,"PG-13,PG,TV-PG,TV-14"
Wreck-It Ralph,1772341,"PG,TV-PG"
True Grit,1403865,PG-13
TRON: Legacy,1104001,PG
John Wick: Chapter 3 - Parabellum,6146586,R
Tarzan,120855,G
The Matrix,133093,R
Mary Poppins Returns,5028340,PG
Pirates of the Caribbean: Dead Men Tell No Tales,1790809,PG-13
Home Alone 2: Lost in New York,104431,"PG,TV-PG"
Air Force One,118571,R
National Treasure,368891,"PG,TV-PG,TV-14"
F9: The Fast Saga,5433138,PG-13
The Greatest Showman,1485796,"PG,TV-PG"
Fast & Furious Presents: Hobbs & Shaw,6806448,PG-13
Elf,319343,"TV-G,PG,TV-PG"
Apollo 13,112384,PG
Crocodile Dundee,90555,PG-13
Crazy Rich Asians,3104988,PG-13
The Boss Baby,3874544,"TV-G,PG"
X-Men,120903,PG-13
The Lego Batman Movie,4116284,PG
Us,6857112,R
A Beautiful Mind,268978,"PG-13,TV-14"
No Time to Die,2382320,PG-13
Star Trek Beyond,2660888,PG-13
The Firm,106918,"R,TV-14"
The Longest Yard,398165,"PG-13,TV-14"
The Secret Life of Pets 2,5113040,PG
1917,8579674,"TV-MA,R"
The Heat,2404463,R
Fantastic Beasts: The Crimes of Grindelwald,4123430,PG-13
The Sting,70735,"PG,TV-14"
Halloween,1502407,R
A Quiet Place Part II,8332922,PG-13
How to Train Your Dragon: The Hidden World,2386490,PG
Shark Tale,307453,"PG,TV-PG"
Die Another Day,246460,PG-13
Ice Age: Continental Drift,1667889,"TV-G,PG,TV-PG"
The Waterboy,120484,PG-13
Les Misérables,1707386,PG-13
Straight Outta Compton,1398426,"TV-MA,R"
Scary Movie,175142,"TV-MA,R,TV-14"
Grown Ups,1375670,"PG-13,TV-PG"
The Santa Clause,111070,PG
American Pie 2,252866,R
One Hundred and One Dalmatians,55254,G
Taken,936501,"PG-13,TV-14"
Lilo & Stitch,275847,"TV-G,PG,TV-PG"
The Great Gatsby,1343092,PG-13
X-Men: First Class,1270798,"PG-13,TV-14"
True Lies,111503,R
War for the Planet of the Apes,3450958,PG-13
Lethal Weapon 2,97733,"R,TV-14"
Gran Torino,1205489,R
Gremlins,87363,"PG,TV-PG,TV-14"
Talladega Nights: The Ballad of Ricky Bobby,415306,"PG-13,TV-14"
Megamind,1001526,"TV-G,PG,TV-PG"
As Good as It Gets,119822,PG-13
Hotel Transylvania,837562,"TV-G,PG,TV-PG"
Knocked Up,478311,"TV-MA,R"
Sonic the Hedgehog,3794354,"PG,TV-PG"
Little Fockers,970866,PG-13
Anger Management,305224,"PG-13,R,TV-14"
Argo,1024648,R
101 Dalmatians,115433,G
Ransom,117438,R
Godzilla,120685,PG-13
The Green Mile,120689,"R,TV-14"
The Conjuring,1457767,"R,TV-14"
Ready Player One,1677720,"PG-13,TV-PG"
Click,389860,PG-13
A Christmas Carol,1067106,"PG,TV-PG"
Dinosaur,130623,PG
Split,4972582,PG-13
21 Jump Street,1232829,"R,TV-14"
Good Will Hunting,119217,R
Platoon,91763,R
Bad Boys II,172156,"R,TV-14"
Cheaper by the Dozen,349205,"PG,TV-PG"
The Rock,117500,"R,TV-14"
"Honey, I Shrunk the Kids",97523,PG
Into the Woods,2180411,PG
Shutter Island,1130884,R
"Crouching Tiger, Hidden Dragon",190332,PG-13
Rocky IV,89927,"PG-13,PG,TV-PG"
Coming to America,94898,R
Robots,358082,PG
Kingsman: The Secret Service,2802144,"R,TV-14"
The Nutty Professor,117218,"PG-13,TV-14"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,443453,R
The Ring,298130,PG-13
An Officer and a Gentleman,84434,R
Transformers: The Last Knight,3371366,PG-13
American Beauty,169547,R
American Gangster,765429,R
Ghostbusters,1289401,PG-13
The Divergent Series: Insurgent,2908446,PG-13
Lethal Weapon 4,122151,"R,TV-14"
The Peanuts Movie,2452042,"G,TV-G,TV-PG"
Get Smart,425061,PG-13
50 First Dates,343660,"PG-13,R,TV-PG"
The Flintstones,109813,PG
Speed,111257,"R,TV-14"
Superbad,829482,"TV-MA,R,TV-14"
Wayne's World,105793,"PG-13,TV-PG"
The Bourne Identity,258463,"PG-13,TV-14"
The Bodyguard,103855,"R,TV-14"
The Hunt for Red October,99810,PG
G.I. Joe: Retaliation,1583421,"PG-13,TV-14"
Clear and Present Danger,109444,PG-13
Rango,1192628,"PG,TV-PG,TV-14"
Nutty Professor II: The Klumps,144528,"PG-13,TV-14"
City Slickers,101587,PG-13
The Good Dinosaur,1979388,"TV-G,PG,TV-PG"
"Good Morning, Vietnam",93105,R
The Birdcage,115685,R
The Devil Wears Prada,458352,PG-13
Traffic,181865,R
Something's Gotta Give,337741,"PG-13,TV-14"
Unbroken,1809398,PG-13
Peter Rabbit,5117670,PG
District 9,1136608,"TV-MA,R"
Creed II,6343314,PG-13
Mamma Mia! Here We Go Again,6911608,PG-13
Remember the Titans,210945,PG
You've Got Mail,128853,"TV-G,PG,TV-PG"
Notting Hill,125439,PG-13
