Money,Count
18097217390,69
15039939731,46
14258148970,40
12144395230,25
11942043248,33
11706960051,21
11323342077,29
11287916827,18
11174646068,23
10929454042,29
10825443862,25
10809870679,25
10225755370,40
10168954857,42
10097926490,22
9946315301,56
9915177593,37
9860259216,19
9859195450,40
9779668225,15
9552524439,37
9303302309,14
9227284878,26
8994896768,22
8964933420,24
8837221748,18
8710376670,37
8659254439,10
8629185480,11
8594048052,16
8474182724,10
8461351337,31
8333985183,25
8160987651,13
8146955925,17
8084995104,42
7995552505,10
7969747767,40
7953898050,41
7873886774,15
7804722062,38
7767738690,28
7736053962,12
7668338102,9
7629939827,27
7498609909,14
7469523557,21
7414646883,23
7373771102,33
7348920228,13
7278884954,8
7099730091,54
7089764788,37
7068178931,34
7052854686,19
7015548188,29
6941916516,21
6855817095,26
6826443266,23
6811599348,39
6809369175,7
6768499313,38
6753041368,19
6742197100,25
6710168542,10
6694664393,13
6673413081,35
6671727835,19
6658821008,34
6626418303,17
6623477765,43
6593726030,69
6548605565,23
6528426103,30
6495291749,11
6475141515,26
6471107867,21
6466657217,31
6453687351,47
6441908342,26
6395033209,30
6378999089,23
6315595443,28
6256470491,22
6237487801,15
6209206084,7
6195985393,33
6178739405,12
6136112576,29
6090914853,25
6073772216,29
6046395189,24
6020670076,39
6018035265,17
6004076109,44
5982928449,10
5949757375,42
5897492522,14
5889965858,15
5834913734,38
5811411367,43
5769755247,15
5760058380,19
5747794064,40
5691205489,14
5685894704,36
5670343911,52
5662717788,16
5658983811,17
5649732735,25
5610227196,21
5599977827,31
5588087812,42
5543795094,16
5536067519,30
5461440047,13
5441624091,31
5383828758,36
5368626803,15
5364288363,20
5360259926,34
5345782628,16
5326922655,18
5326887340,27
5308284985,36
5307485229,20
5303786797,12
5274012327,26
5227533377,40
5222118683,22
5213051811,40
5207116586,6
5196263665,23
5177746834,31
5172461891,46
5159460797,12
5149321296,23
5145037725,16
5142455706,31
5138275200,23
5127088054,25
5120338839,35
5092012075,31
5080835116,7
5066032171,23
5060757073,11
5055637172,31
5048659612,20
5041720360,36
5030118917,19
4998929306,31
4998063387,13
4891555691,26
4869294616,4
4855409921,37
4852029476,30
4839106640,23
4837517478,7
4818703296,16
4789836205,16
4787970918,27
4775177956,27
4760720775,21
4759635243,13
4755293293,32
4749238597,38
4748677441,19
4743044157,11
4738280832,27
4723198518,27
4722372748,39
4720841236,15
4697869074,27
4669945179,31
4654853654,32
4653181275,12
4638702365,23
4624713486,42
4614717468,28
4612554192,14
4571435882,24
4560927681,22
4559869827,25
4556959901,12
4546661995,27
4542855053,27
4532996003,13
4515889323,20
4509198682,26
4497853534,9
4483468492,26
4475190140,29
4461924528,34
4457074297,20
4430967710,21
4421463155,8
4420857257,18
4405149187,26
4403440094,21
4383045166,23
4357816115,10
4351294208,16
4333606641,9
4330177596,26
4330141700,27
4322112949,15
4317285351,7
4308038290,15
4295637989,6
4269738721,29
4267983423,28
4256916067,26
4256321516,16
4247922729,27
4240430043,13
4234299428,27
4234130517,34
4214973324,27
4199366625,22
4197764841,17
4165869213,28
4143195160,35
4130048994,40
4129283074,9
4129161893,22
4127616107,15
4113594698,14
4110730560,7
4078047409,5
4077976301,33
4067805423,7
4055075462,21
4041411631,11
4017943145,26
4012436014,12
4012083351,18
4006764962,21
4003024617,24
3999783821,7
3997953339,16
3997949971,23
3976418447,24
3974065062,9
3970702333,14
3960168014,13
3949567604,46
3946915624,23
3943901310,22
3939282188,29
3934717233,29
3913538823,28
3907908219,38
3879049417,21
3875950429,13
3872944774,14
3871319282,28
3860620785,9
3859198655,21
3858400951,4
3852319902,22
3834746655,17
3816385124,15
3808990442,11
3798785428,43
3794635016,34
3793231839,17
3791526591,32
3783794280,25
3778763367,8
3778520947,5
3770693858,26
3768768272,16
3754503028,18
3746863927,26
3734560583,12
3733298370,20
3733075388,4
3716439191,9
3711236130,31
3705507922,18
3693635447,25
3693216023,11
3687916164,19
3687733939,13
3684083170,2
3679614634,6
3667661083,5
3654455130,9
3651494620,11
3638692690,25
3635915173,4
3632979700,24
3612253750,20
3608420106,6
3597597203,11
3586421215,5
3581824176,15
3578646818,14
3574133576,30
3565721505,14
3561877208,11
3558188292,34
3554415054,29
3542782736,20
3536091530,11
3529257039,15
3508096321,4
3508096321,4
3502309854,20
3497064080,5
3495403865,24
3489829615,8
3488736706,17
3486452094,20
3481147330,28
3478224320,29
3476863117,25
3473127238,4
3472085616,19
3456458902,26
3456424400,4
3442389492,10
3435658655,8
3421582993,13
3408267759,20
3396825670,10
3396427227,10
3392567247,11
3380292717,16
3379690177,16
3378804268,8
3376989028,16
3376010815,6
3365048501,14
3360239468,17
3357296517,23
3351054138,34
3340764691,34
3324728938,22
3319688439,9
3316890951,8
3313975218,11
3299385701,37
3291862573,7
3287056519,10
3286146845,7
3282463215,17
3280424790,9
3274009547,32
3267359030,26
3264383553,26
3259135772,23
3258562454,13
3250529693,10
3249718356,20
3246994052,7
3245415194,6
3244247111,15
3227864035,7
3227668258,5
3212945741,12
3212006537,9
3210036448,8
3197684316,14
3196911540,20
3191110317,30
3190289422,22
3183134966,20
3178447105,20
3172173744,22
3158064417,7
3146568029,27
3145921951,16
3144167637,4
3135499787,14
3121230730,4
3119437811,17
3103693489,4
3093931081,5
3092802961,16
3087846350,15
3084306694,11
3080736331,16
3075778184,5
3068653032,22
3062665876,10
3061864425,21
3052883696,4
3048815285,9
3044482294,14
3042950065,10
3041864489,6
3032482099,5
3031658816,6
3026603901,6
3013855374,29
3013313560,11
3010497412,2
3010378008,18
3009622118,23
2999573771,7
2989100501,16
2988373289,18
2988338961,22
2987487402,15
2978778461,19
2978216948,6
2973107318,4
2970530458,23
2966868702,31
2954071892,34
2950161246,26
2946018857,19
2941189473,4
2938193946,3
2938193946,3
2938193946,3
2938193946,3
2938193946,3
2929463348,27
2928794302,13
2923520359,13
2922389795,7
2921164086,7
2921063818,24
2913117584,14
2911776617,7
2909208631,16
2903730255,14
2897552173,9
2897459086,25
2895801840,5
2893490947,20
2890350081,12
2888242173,20
2880511812,16
2873868843,30
2872599082,7
2864737655,19
2863641822,6
2861731686,21
2855027289,25
2849254271,16
2847246203,1
2847246203,1
2847246203,1
2847246203,1
2847246203,1
