Movie_Title,Rating,Count
Star Wars: Episode VII - The Force Awakens,7.8,893000
Frozen II,6.8,156000
The Dark Knight Rises,8.4,1600000
Beauty and the Beast,7.1,293000
Finding Dory,7.3,259000
Shrek 2,7.2,441000
Avengers: Age of Ultron,7.3,805000
The Dark Knight,9.0,2500000
Star Wars: Episode IX - The Rise of Skywalker,6.5,412000
Rogue One,7.8,589000
The Lion King,6.8,230000
Star Wars: Episode VIII - The Last Jedi,6.9,597000
The Avengers,8.0,1300000
Star Wars: Episode I - The Phantom Menace,6.5,764000
Jurassic World,7.0,607000
The Jungle Book,7.4,269000
Deadpool,8.0,966000
Incredibles 2,7.6,274000
The Lord of the Rings: The Return of the King,8.9,1700000
Star Wars: Episode III - Revenge of the Sith,7.5,746000
Frozen,7.4,598000
Spider-Man: Far from Home,7.4,406000
Finding Nemo,8.1,995000
Guardians of the Galaxy Vol. 2,7.6,624000
Harry Potter and the Deathly Hallows: Part 2,8.1,816000
Jurassic Park,8.1,921000
Transformers: Revenge of the Fallen,6.0,397000
Harry Potter and the Goblet of Fire,7.7,584000
Spider-Man 2,7.3,596000
Man of Steel,7.0,737000
Star Wars: Episode V - The Empire Strikes Back,8.7,1200000
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,383000
Inception,8.8,2200000
Harry Potter and the Order of the Phoenix,7.5,544000
Up,8.2,988000
The Twilight Saga: Breaking Dawn - Part 2,5.5,241000
The Twilight Saga: New Moon,4.8,276000
The Twilight Saga: Eclipse,5.0,238000
The Sixth Sense,8.1,951000
Harry Potter and the Half-Blood Prince,7.6,508000
Skyfall,7.8,673000
The Hobbit: An Unexpected Journey,7.8,788000
Pirates of the Caribbean: The Curse of the Black Pearl,8.0,1100000
Maleficent,7.0,362000
Star Trek,7.9,593000
Fantastic Beasts and Where to Find Them,7.3,435000
War of the Worlds,6.5,433000
X-Men: The Last Stand,6.7,500000
Beverly Hills Cop,7.3,176000
Brave,7.1,393000
Oz the Great and Powerful,6.3,204000
Furious 6,7.0,384000
Shrek Forever After,6.3,195000
I Am Legend,7.2,722000
Ghostbusters,7.8,388000
Pirates of the Caribbean: On Stranger Tides,6.6,503000
My Big Fat Greek Wedding,6.6,127000
Bruce Almighty,6.8,388000
Twister,6.4,189000
Cars,7.1,393000
Transformers: Age of Extinction,5.6,307000
Toy Story 2,7.9,554000
Aladdin,8.0,391000
Raiders of the Lost Ark,8.4,926000
Sherlock Holmes,7.6,609000
Dawn of the Planet of the Apes,7.6,426000
Wedding Crashers,6.9,345000
Mission: Impossible - Ghost Protocol,7.4,474000
Fast Five,7.3,370000
Coco,8.4,447000
Back to the Future,8.5,1100000
It Chapter Two,6.5,239000
300,7.6,763000
Austin Powers in Goldmember,6.2,204000
Solo: A Star Wars Story,6.9,319000
X2,7.4,532000
Batman Begins,8.2,1400000
Happy Feet,6.4,179000
A Star Is Born,7.6,362000
Ocean&apos;s Eleven,7.7,546000
Venom,6.7,439000
Batman Forever,5.4,243000
Dances with Wolves,8.0,253000
Pitch Perfect 2,6.4,151000
The Fugitive,7.8,282000
The Revenant,8.0,755000
Snow White and the Seven Dwarfs,7.6,191000
Mr. &amp; Mrs. Smith,6.5,473000
The Day After Tomorrow,6.4,433000
Sherlock Holmes: A Game of Shadows,7.5,438000
The Croods,7.2,205000
Interstellar,8.6,1700000
Gladiator,8.5,1400000
A Quiet Place,7.5,490000
Grease,7.2,257000
Dunkirk,7.8,608000
Ant-Man,7.3,619000
Tarzan,7.3,215000
John Wick: Chapter 3 - Parabellum,7.4,313000
Mary Poppins Returns,6.7,83000
The Matrix,8.7,1800000
Pirates of the Caribbean: Dead Men Tell No Tales,6.5,286000
Tron,6.8,326000
Air Force One,6.5,189000
F9,5.2,107000
True Grit,7.6,327000
National Treasure,6.9,319000
Home Alone 2: Lost in New York,6.8,332000
Apollo 13,7.6,284000
Fast &amp; Furious Presents: Hobbs &amp; Shaw,6.5,199000
Elf,7.0,249000
The Greatest Showman,7.6,262000
Crocodile Dundee,6.6,101000
Crazy Rich Asians,6.9,160000
The Boss Baby,6.3,119000
The Longest Yard,6.4,171000
X-Men,7.4,593000
The Firm,6.8,129000
No Time to Die,7.4,246000
Star Trek Beyond,7.0,239000
1917,8.3,515000
The Secret Life of Pets 2,6.5,58000
Fantastic Beasts: The Crimes of Grindelwald,6.5,244000
Halloween,6.6,141000
The Heat,6.6,168000
The Sting,8.3,253000
How to Train Your Dragon: The Hidden World,7.5,118000
Die Another Day,6.1,214000
Shark Tale,6.0,176000
Little Fockers,5.5,110000
American Hustle,7.2,466000
The Santa Clause,6.5,109000
One Hundred and One Dalmatians,7.3,162000
The Great Gatsby,7.2,511000
X: First Class,7.7,668000
Taken,7.8,585000
