Movie,Date,Month,Year
Star Wars: Episode VII - The Force Awakens,18,12,2015
Frozen II,22,11,2019
The Dark Knight Rises,27,7,2012
Beauty and the Beast,17,3,2017
Finding Dory,17,6,2016
Shrek 2,19,5,2004
Avengers: Age of Ultron,24,4,2015
The Dark Knight,29,8,2008
Star Wars: Episode IX - The Rise of Skywalker,3,1,2020
Rogue One,16,12,2016
The Lion King,19,7,2019
Star Wars: Episode VIII - The Last Jedi,15,12,2017
The Avengers,27,4,2012
Star Wars: Episode I - The Phantom Menace,19,5,1999
Jurassic World,12,6,2015
The Jungle Book,15,4,2016
Deadpool,12,2,2016
Incredibles 2,15,6,2018
The Lord of the Rings: The Return of the King,17,12,2003
Star Wars: Episode III - Revenge of the Sith,15,7,2005
Frozen,13,12,2013
Spider-Man: Far from Home,5,7,2019
Finding Nemo,28,5,2004
Guardians of the Galaxy Vol. 2,28,4,2017
Harry Potter and the Deathly Hallows: Part 2,3,2,2012
Jurassic Park,11,6,1993
Transformers: Revenge of the Fallen,3,7,2009
Harry Potter and the Goblet of Fire,25,8,2006
Spider-Man 2,9,11,2004
Man of Steel,14,6,2013
Star Wars: Episode V - The Empire Strikes Back,21,5,1980
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",8,12,2005
Inception,6,8,2010
Harry Potter and the Order of the Phoenix,11,7,2007
Up,17,7,2009
The Twilight Saga: Breaking Dawn - Part 2,16,11,2012
The Twilight Saga: New Moon,27,11,2009
The Twilight Saga: Eclipse,30,6,2010
The Sixth Sense,6,8,1999
Harry Potter and the Half-Blood Prince,24,7,2009
Skyfall,2,11,2012
The Hobbit: An Unexpected Journey,28,12,2012
Pirates of the Caribbean: The Curse of the Black Pearl,9,7,2003
Maleficent,30,5,2014
Star Trek,20,5,2009
Fantastic Beasts and Where to Find Them,18,11,2016
War of the Worlds,29,6,2005
X-Men: The Last Stand,4,8,2006
Beverly Hills Cop,5,12,1984
Brave,6,7,2012
Oz the Great and Powerful,8,3,2013
Furious 6,24,5,2013
Shrek Forever After,21,5,2010
I Am Legend,14,12,2007
Ghostbusters,8,6,1984
Pirates of the Caribbean: On Stranger Tides,18,5,2011
My Big Fat Greek Wedding,2,8,2002
Bruce Almighty,23,5,2003
Twister,10,5,1996
Cars,18,8,2006
Transformers: Age of Extinction,27,6,2014
Toy Story 2,24,11,1999
Aladdin,25,11,1992
Raiders of the Lost Ark,25,12,2009
Sherlock Holmes,31,12,2012
Dawn of the Planet of the Apes,11,7,2014
Wedding Crashers,15,7,2005
Mission: Impossible - Ghost Protocol,21,12,2011
Fast Five,29,4,2011
Coco,24,11,2017
Back to the Future,3,7,1985
It Chapter Two,6,9,2019
300,9,3,2007
Austin Powers in Goldmember,26,7,2002
Solo: A Star Wars Story,25,5,2018
X2,23,4,2004
Batman Begins,15,6,2005
Happy Feet,17,11,2006
A Star Is Born,5,10,2018
Ocean&apos;s Eleven,7,12,2001
Venom,5,10,2018
Batman Forever,16,6,1995
Dances with Wolves,21,11,1990
Pitch Perfect 2,15,5,2015
The Fugitive,6,8,1993
The Revenant,5,2,2016
Snow White and the Seven Dwarfs,4,2,1938
Mr. &amp; Mrs. Smith,12,8,2005
The Day After Tomorrow,28,8,2004
Sherlock Holmes: A Game of Shadows,3,2,2012
The Croods,22,3,2013
Interstellar,7,11,2014
Gladiator,5,5,2000
A Quiet Place,20,4,2018
Grease,16,6,1978
Dunkirk,21,7,2017
Ant-Man,24,7,2015
Tarzan,18,6,1999
John Wick: Chapter 3 - Parabellum,17,5,2019
Mary Poppins Returns,28,12,2018
The Matrix,31,3,1999
Pirates of the Caribbean: Dead Men Tell No Tales,26,5,2017
Tron,17,12,2010
Air Force One,25,7,1997
F9,25,6,2021
True Grit,18,2,2011
National Treasure,28,3,2005
Home Alone 2: Lost in New York,20,11,1992
Apollo 13,30,6,1995
Fast &amp; Furious Presents: Hobbs &amp; Shaw,2,8,2019
Elf,7,11,2003
The Greatest Showman,29,12,2017
Crocodile Dundee,24,4,1986
Crazy Rich Asians,14,9,2018
The Boss Baby,31,3,2017
The Longest Yard,27,5,2005
X-Men,14,7,2000
The Firm,30,6,1993
No Time to Die,30,9,2021
Star Trek Beyond,22,7,2016
1917,10,1,2020
The Secret Life of Pets 2,7,6,2019
Fantastic Beasts: The Crimes of Grindelwald,16,11,2018
Halloween,19,10,2018
The Heat,9,8,2013
The Sting,25,12,1973
How to Train Your Dragon: The Hidden World,6,2,2019
Die Another Day,20,11,2002
Shark Tale,1,10,2004
Little Fockers,22,12,2010
American Hustle,27,12,2013
The Santa Clause,11,11,1994
One Hundred and One Dalmatians,25,1,1961
The Great Gatsby,10,5,2013
X: First Class,24,6,2011
Taken,27,2,2008
Lilo &amp; Stitch,21,6,2002
War for the Planet of the Apes,14,7,2017
Lethal Weapon 2,7,7,1989
Talladega Nights: The Ballad of Ricky Bobby,4,8,2006
Gremlins,8,6,1984
Megamind,5,11,2010
True Lies,15,7,1994
Knocked Up,19,10,2007
As Good as It Gets,25,12,1997
Les Misérables,11,1,2013
xXx,9,8,2002
The Jungle Book,18,10,1967
Sonic the Hedgehog,21,2,2020
Hotel Transylvania,19,11,2012
Puss in Boots,28,10,2011
Once Upon a Time in... Hollywood,16,8,2019
Argo,12,10,2012
Godzilla,20,5,1998
The Green Mile,10,12,1999
Ransom,8,11,1996
101 Dalmatians,27,11,1996
Click,23,6,2006
Ready Player One,30,3,2018
Dinosaur,19,5,2000
The Conjuring,6,9,2013
Split,17,2,2017
21 Jump Street,18,5,2012
