Movie_Title,Time
Star Wars: Episode VII - The Force Awakens,138
Frozen II,103
The Dark Knight Rises,164
Beauty and the Beast,129
Finding Dory,97
Shrek 2,93
Avengers: Age of Ultron,141
The Dark Knight,152
Star Wars: Episode IX - The Rise of Skywalker,141
Rogue One,133
The Lion King,118
Star Wars: Episode VIII - The Last Jedi,152
The Avengers,143
Star Wars: Episode I - The Phantom Menace,136
Jurassic World,124
The Jungle Book,106
Deadpool,108
Incredibles 2,118
The Lord of the Rings: The Return of the King,201
Star Wars: Episode III - Revenge of the Sith,140
Frozen,102
Spider-Man: Far from Home,129
Finding Nemo,100
Guardians of the Galaxy Vol. 2,136
Harry Potter and the Deathly Hallows: Part 2,130
Jurassic Park,127
Transformers: Revenge of the Fallen,149
Harry Potter and the Goblet of Fire,157
Spider-Man 2,127
Man of Steel,143
Star Wars: Episode V - The Empire Strikes Back,124
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143
Inception,148
Harry Potter and the Order of the Phoenix,138
Up,96
The Twilight Saga: Breaking Dawn - Part 2,115
The Twilight Saga: New Moon,130
The Twilight Saga: Eclipse,124
The Sixth Sense,107
Harry Potter and the Half-Blood Prince,153
Skyfall,143
The Hobbit: An Unexpected Journey,169
Pirates of the Caribbean: The Curse of the Black Pearl,143
Maleficent,97
Star Trek,127
Fantastic Beasts and Where to Find Them,132
War of the Worlds,116
X-Men: The Last Stand,104
Beverly Hills Cop,105
Brave,93
Oz the Great and Powerful,130
Furious 6,130
Shrek Forever After,93
I Am Legend,101
Ghostbusters,105
Pirates of the Caribbean: On Stranger Tides,137
My Big Fat Greek Wedding,95
Bruce Almighty,101
Twister,113
Cars,117
Transformers: Age of Extinction,165
Toy Story 2,92
Aladdin,90
Raiders of the Lost Ark,115
Sherlock Holmes,128
Dawn of the Planet of the Apes,130
Wedding Crashers,119
Mission: Impossible - Ghost Protocol,132
Fast Five,130
Coco,105
Back to the Future,116
It Chapter Two,169
300,117
Austin Powers in Goldmember,94
Solo: A Star Wars Story,135
X2,134
Batman Begins,140
Happy Feet,108
A Star Is Born,136
Ocean&apos;s Eleven,116
Venom,112
Batman Forever,121
Dances with Wolves,181
Pitch Perfect 2,115
The Fugitive,130
The Revenant,156
Snow White and the Seven Dwarfs,83
Mr. &amp; Mrs. Smith,120
The Day After Tomorrow,124
Sherlock Holmes: A Game of Shadows,129
The Croods,98
Interstellar,169
Gladiator,155
A Quiet Place,90
Grease,110
Dunkirk,106
Ant-Man,117
Tarzan,88
John Wick: Chapter 3 - Parabellum,130
Mary Poppins Returns,130
The Matrix,136
Pirates of the Caribbean: Dead Men Tell No Tales,129
Tron,125
Air Force One,124
F9,143
True Grit,110
National Treasure,131
Home Alone 2: Lost in New York,120
Apollo 13,140
Fast &amp; Furious Presents: Hobbs &amp; Shaw,137
Elf,97
The Greatest Showman,105
Crocodile Dundee,97
Crazy Rich Asians,120
The Boss Baby,97
The Longest Yard,113
X-Men,104
The Firm,154
No Time to Die,163
Star Trek Beyond,122
1917,119
The Secret Life of Pets 2,86
Fantastic Beasts: The Crimes of Grindelwald,134
Halloween,106
The Heat,117
The Sting,129
How to Train Your Dragon: The Hidden World,104
Die Another Day,133
Shark Tale,90
Little Fockers,98
American Hustle,138
The Santa Clause,97
One Hundred and One Dalmatians,79
The Great Gatsby,143
X: First Class,131
Taken,90
Lilo &amp; Stitch,85
War for the Planet of the Apes,140
Lethal Weapon 2,114
Talladega Nights: The Ballad of Ricky Bobby,108
Gremlins,106
Megamind,95
True Lies,141
Knocked Up,129
As Good as It Gets,139
Les Misérables,158
xXx,124
The Jungle Book,78
Sonic the Hedgehog,99
Hotel Transylvania,91
Puss in Boots,90
Once Upon a Time in... Hollywood,161
Argo,120
Godzilla,139
The Green Mile,189
Ransom,121
101 Dalmatians,103
Click,107
Ready Player One,140
Dinosaur,82
The Conjuring,112
Split,117
21 Jump Street,109
Good Will Hunting,126
Platoon,120
The King&apos;s Speech,118
Bad Boys II,147
Cheaper by the Dozen,98
Transformers: The Last Knight,154
Silver Linings Playbook,122
Hulk,138
Rocky IV,91
Shutter Island,138
Into the Woods,125
Coming to America,117
Wo hu cang long,120
Kingsman: The Secret Service,129
Robots,91
Ghostbusters,117
The Ring,115
The Nutty Professor,95
American Gangster,157
An Officer and a Gentleman,124
Insurgent,119
Get Smart,110
Lethal Weapon 4,127
The Flintstones,91
"Honey, I Shrunk the Kids",93
2 Fast 2 Furious,107
The Bodyguard,129
Sully,96
50 First Dates,99
Enchanted,107
Speed,116
The Bourne Identity,119
The Hunt for Red October,135
The Good Dinosaur,93
G.I. Joe: Retaliation,110
Nutty Professor II: The Klumps,106
"Good Morning, Vietnam",121
Rango,107
City Slickers,113
Wayne&apos;s World,94
Peter Rabbit,95
Traffic,147
Mamma Mia! Here We Go Again,114
Unbroken,137
Something&apos;s Gotta Give,128
Remember the Titans,113
District 9,112
You&apos;ve Got Mail,119
Clear and Present Danger,141
Creed II,130
The Towering Inferno,165
Ghost Rider,110
Notting Hill,124
Green Lantern,114
The Butler,132
8 Mile,110
The Wolf of Wall Street,180
S.W.A.T.,117
Ocean&apos;s Thirteen,122
A Time to Kill,149
Jackass 3D,95
Crocodile Dundee II,108
The 40 Year Old Virgin,116
Star Trek IV: The Voyage Home,119
Creed,133
Bedtime Stories,99
Trainwreck,125
Freaky Friday,97
Double Jeopardy,105
The Grudge,91
Valentine&apos;s Day,125
Godzilla: King of the Monsters,132
Spy,120
Tropic Thunder,107
Fun with Dick and Jane,90
Dreamgirls,130
Glass,129
Dick Tracy,105
Journey 2: The Mysterious Island,94
Paranormal Activity 3,83
The Mule,116
Daddy Day Care,92
The Princess and the Frog,97
