Movie_Title,Movie_ID,ListOfCertificate
Star Wars: Episode VII - The Force Awakens,2488496,PG-13
The Secret Life of Pets,2709768,PG
Despicable Me 2,1690953,PG
The Passion of the Christ,335345,R
Spider-Man 2,316654,PG-13
The Jungle Book,3040964,PG
Deadpool,1431045,R
Guardians of the Galaxy Vol. 2,3896198,PG-13
Star Wars: Episode III - Revenge of the Sith,121766,PG-13
Finding Nemo,266543,G
Harry Potter and the Deathly Hallows: Part 2,1201607,PG-13
Frozen,2294629,PG
Transformers: Revenge of the Fallen,1055369,PG-13
Spider-Man: Far from Home,6320628,PG-13
The Lord of the Rings: The Return of the King,167260,PG-13
Spider-Man,145487,PG-13
Jurassic Park,107290,PG-13
Jumanji: Welcome to the Jungle,2283362,PG-13
Toy Story 3,435761,G
Iron Man 3,1300854,PG-13
The Hunger Games,1392170,PG-13
Captain America: Civil War,3498820,PG-13
Wonder Woman,451279,PG-13
Harry Potter and the Goblet of Fire,330373,PG-13
Man of Steel,770828,PG-13
Star Wars: Episode V - The Empire Strikes Back,80684,PG
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",363771,PG
Inception,1375666,PG-13
Harry Potter and the Order of the Phoenix,373889,PG-13
The Twilight Saga: Breaking Dawn - Part 2,1673434,PG-13
Up,1049413,PG
The Sixth Sense,167404,PG-13
Harry Potter and the Deathly Hallows: Part 1,926084,PG-13
The Twilight Saga: Eclipse,1325004,PG-13
Harry Potter and the Half-Blood Prince,417741,PG
The Hobbit: An Unexpected Journey,903624,PG-13
Skyfall,1074638,PG-13
The Twilight Saga: New Moon,1259571,PG-13
Pirates of the Caribbean: The Curse of the Black Pearl,325980,PG-13
"Monsters, Inc.",198781,G
Fantastic Beasts and Where to Find Them,3183660,PG-13
War of the Worlds,407304,PG-13
Oz the Great and Powerful,1623205,PG
Beverly Hills Cop,86960,R
Brave,1217209,PG
Shrek Forever After,892791,PG
X-Men: The Last Stand,376994,PG-13
Ghostbusters,87332,PG
Fast & Furious 6,1905041,PG-13
Pirates of the Caribbean: On Stranger Tides,1298650,PG-13
Maleficent,1587310,PG
Twister,117998,PG-13
Bruce Almighty,315327,PG-13
Cars,317219,G
Moana,3521164,PG
My Big Fat Greek Wedding,259446,PG
Transformers: Age of Extinction,2109248,PG-13
Indiana Jones and the Raiders of the Lost Ark,82971,PG
Toy Story 2,120363,G
Wedding Crashers,396269,R
Venom: Let There Be Carnage,7097896,PG-13
Mission: Impossible - Ghost Protocol,1229238,PG-13
Sherlock Holmes,988045,PG-13
Dawn of the Planet of the Apes,2103281,PG-13
Coco,2380307,PG
Fast Five,1596343,PG-13
Back to the Future,88763,PG
300,416449,R
Solo: A Star Wars Story,3778644,PG-13
It Chapter Two,7349950,R
Austin Powers in Goldmember,295178,PG-13
Venom,1270797,PG-13
The Lorax,1482459,PG
Kung Fu Panda,441773,PG
X2: X-Men United,290334,PG-13
A Star Is Born,1517451,R
Mission: Impossible II,120755,PG-13
Ocean's Eleven,240772,PG-13
The Revenant,1663202,R
Madagascar 3: Europe's Most Wanted,1277953,PG
Dances with Wolves,99348,PG-13
Snow White and the Seven Dwarfs,29583,G
Pitch Perfect 2,2848292,PG-13
The Fugitive,106977,PG-13
Batman Forever,112462,PG-13
The Day After Tomorrow,319262,PG-13
Sherlock Holmes: A Game of Shadows,1515091,PG-13
Mr. & Mrs. Smith,356910,PG-13
Gladiator,172495,R
The Croods,481499,PG
Grease,77631,"PG-13,PG"
A Quiet Place,6644200,PG-13
Interstellar,816692,PG-13
Dunkirk,5013056,PG-13
Wreck-It Ralph,1772341,PG
Spider-Man: Into the Spider-Verse,4633694,PG
John Wick: Chapter 3 - Parabellum,6146586,R
The Matrix,133093,R
Tarzan,120855,G
True Grit,1403865,PG-13
Mary Poppins Returns,5028340,PG
Home Alone 2: Lost in New York,104431,PG
TRON: Legacy,1104001,PG
F9: The Fast Saga,5433138,PG-13
Elf,319343,PG
National Treasure,368891,PG
Pirates of the Caribbean: Dead Men Tell No Tales,1790809,PG-13
Air Force One,118571,R
Apollo 13,112384,PG
The Boss Baby,3874544,PG
Us,6857112,R
Crocodile Dundee,90555,PG-13
A Beautiful Mind,268978,PG-13
The Greatest Showman,1485796,PG
Crazy Rich Asians,3104988,PG-13
Fast & Furious Presents: Hobbs & Shaw,6806448,PG-13
The Lego Batman Movie,4116284,PG
No Time to Die,2382320,PG-13
X-Men,120903,PG-13
The Longest Yard,398165,PG-13
The Firm,106918,R
1917,8579674,R
The Secret Life of Pets 2,5113040,PG
Halloween,1502407,R
Star Trek Beyond,2660888,PG-13
The Heat,2404463,R
How to Train Your Dragon: The Hidden World,2386490,PG
The Sting,70735,PG
Shark Tale,307453,PG
Die Another Day,246460,PG-13
Fantastic Beasts: The Crimes of Grindelwald,4123430,PG-13
Ice Age: Continental Drift,1667889,PG
A Quiet Place Part II,8332922,PG-13
The Waterboy,120484,PG-13
Straight Outta Compton,1398426,R
Grown Ups,1375670,PG-13
The Santa Clause,111070,PG
The Great Gatsby,1343092,PG-13
One Hundred and One Dalmatians,55254,G
Jason Bourne,4196776,PG-13
Taken,936501,PG-13
X-Men: First Class,1270798,PG-13
American Pie 2,252866,R
Lilo & Stitch,275847,PG
Gran Torino,1205489,R
True Lies,111503,R
War for the Planet of the Apes,3450958,PG-13
Gremlins,87363,PG
Hotel Transylvania,837562,PG
Little Fockers,970866,PG-13
Lethal Weapon 2,97733,R
Megamind,1001526,PG
As Good as It Gets,119822,PG-13
