Movie_Title,Movie_ID,Budget,Cast,Crew,Studios,Genre,Keywords,Languages,Countries,Release_Data,Runtime,Gross_worldwide,Rating,Rating_Count,ListOfCertificate,Release_Year,Release_Month,Release_Day,GenreRank,SpecialMonth,CastsRank,NumLeadActors,HasTop50Actors,NumStudios,StudioRank,NumTopStudios,HasTopStudio,CountryRank,LanguageRank,keywordRank,cerRank
Star Wars: Episode VII - The Force Awakens,2488496,245000000,"['Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Domhnall Gleeson', 'Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', ""Lupita Nyong'o"", 'Andy Serkis', 'Anthony Daniels', 'Max von Sydow', 'Peter Mayhew', 'Gwendoline Christie', 'Joonas Suotamo', 'Pip Andersen', 'Simon Pegg', 'Kiran Shah']","['Lawrence Kasdan', 'Michael Arndt', 'J.J. Abrams']","['Lucasfilm', 'Bad Robot', 'Truenorth Productions']","['Action', 'Adventure', 'Sci-Fi']","['reboot', 'sanitation employee', 'remake', 'crash landing', 'wisecrack humor']",['English'],['United States'],2015-12-18,138,2069521700,7.8,893000,['PG-13'],2015,12,18,16.333333333333332,1,38715,8,1,3,887,2,1,4,1,158,4
Frozen II,4520988,150000000,"['Kristen Bell', 'Idina Menzel', 'Josh Gad', 'Jonathan Groff', 'Sterling K. Brown', 'Evan Rachel Wood', 'Alfred Molina', 'Martha Plimpton', 'Jason Ritter', 'Rachel Matthews', 'Jeremy Sisto', 'Ciarán Hinds', 'Alan Tudyk', 'Hadley Gannaway', 'Mattea Conforti', 'Aurora Aksnes', 'Santino Fontana', 'Livvy Stubenrauch']","['Jennifer Lee', 'Hans Christian Andersen', 'Chris Buck']","['Walt Disney Animation Studios', 'Walt Disney Pictures']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","['autumn', 'anthropomorphic snowman', 'princess', 'disney animated sequel', 'magic']",['English'],['United States'],2019-11-22,103,1450026933,6.8,156000,['PG'],2019,11,22,16.333333333333332,1,26615,2,0,2,740,2,1,4,1,165,2
The Dark Knight Rises,1345836,250000000,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman', 'Joseph Gordon-Levitt', 'Marion Cotillard', 'Morgan Freeman', 'Michael Caine', 'Matthew Modine', 'Alon Aboutboul', 'Ben Mendelsohn', 'Burn Gorman', 'Daniel Sunjata', 'Aidan Gillen', 'Sam Kennard', 'Aliash Tepina', 'Nestor Carbonell', 'Brett Cullen']","['Jonathan Nolan', 'Christopher Nolan', 'David S. Goyer']","['Warner Bros.', 'Legendary Entertainment', 'DC Entertainment']","['Action', 'Crime', 'Drama']","['dc comics', 'batman character', 'bruce wayne character', 'terrorist plot', 'sequel']","['English', 'Arabic']","['United Kingdom', 'United States']",2012-07-27,164,1081142612,8.4,1600000,['PG-13'],2012,7,27,8.0,1,31183,1,0,3,1076,3,1,7,8,163,4
Beauty and the Beast,2771200,160000000,"['Emma Watson', 'Dan Stevens', 'Luke Evans', 'Josh Gad', 'Kevin Kline', 'Hattie Morahan', 'Haydn Gwynne', 'Gerard Horan', 'Ray Fearon', 'Ewan McGregor', 'Ian McKellen', 'Emma Thompson', 'Nathan Mack', 'Audra McDonald', 'Stanley Tucci', 'Gugu Mbatha-Raw', 'Clive Rowe', 'Thomas Padden']","['Evan Spiliotopoulos', 'Bill Condon', 'Stephen Chbosky', 'Linda Woolverton']","['Mandeville Films', 'Walt Disney Pictures']","['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']","['beast', 'fairy tale', 'heroine', ""beast's heart"", 'remake of oscar winner']",['English'],['United States'],2017-03-17,129,1273576220,7.1,293000,['PG'],2017,3,17,14.8,0,27316,4,1,2,700,2,1,4,1,0,2
Finding Dory,2277860,200000000,"['Ellen DeGeneres', 'Albert Brooks', ""Ed O'Neill"", 'Kaitlin Olson', 'Hayden Rolence', 'Ty Burrell', 'Diane Keaton', 'Eugene Levy', 'Sloane Murray', 'Idris Elba', 'Dominic West', 'Bob Peterson', 'Kate McKinnon', 'Bill Hader', 'Sigourney Weaver', 'Alexander Gould', 'Torbin Xan Bullock', 'Andrew Stanton']","['Angus MacLane', 'Victoria Strouse', 'Andrew Stanton']","['Pixar Animation Studios', 'Walt Disney Pictures']","['Animation', 'Adventure', 'Comedy', 'Family']","['fish', 'ocean', 'whale', 'octopus driving a truck', 'talking animal']","['English', 'Indonesian']",['United States'],2016-06-17,97,1028570942,7.3,259000,['PG'],2016,6,17,16.75,1,25491,1,0,2,773,2,1,4,1,0,2
Shrek 2,298148,150000000,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Julie Andrews', 'Antonio Banderas', 'John Cleese', 'Rupert Everett', 'Jennifer Saunders', 'Aron Warner', 'Kelly Asbury', 'Cody Cameron', 'Conrad Vernon', 'Christopher Knights', 'David P. Smith', 'Mark Moseley', 'Kelly Cooney', 'Wendy Bilanski', 'Larry King']","['Conrad Vernon', 'Joe Stillman', 'Kelly Asbury', 'William Steig', 'Andrew Adamson']","['Dreamworks Pictures', 'Pacific Data Images (PDI)', 'DreamWorks Animation']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']","['reference to spider man', 'ogre', 'cat', 'princess', 'puss in boots']",['English'],"['United States', 'Japan']",2004-05-19,93,928760770,7.2,441000,['PG'],2004,5,19,15.166666666666666,1,31012,5,1,3,1097,3,1,9,1,130,2
Avengers: Age of Ultron,2395427,250000000,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'James Spader', 'Samuel L. Jackson', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell', 'Idris Elba', 'Linda Cardellini', 'Stellan Skarsgård']","['Stan Lee', 'Jack Kirby', 'Joss Whedon']","['Marvel Studios', 'Walt Disney Pictures']","['Action', 'Adventure', 'Sci-Fi']","['superhero', 'marvel cinematic universe', 'artificial intelligence', 'hallucination', 'superhero team']","['English', 'Korean']",['United States'],2015-04-24,141,1402809540,7.3,805000,['PG-13'],2015,4,24,16.333333333333332,0,52747,9,1,2,775,2,1,4,1,167,4
The Dark Knight,468569,185000000,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal', 'Gary Oldman', 'Morgan Freeman', 'Monique Gabriela Curnen', 'Ron Dean', 'Cillian Murphy', 'Chin Han', 'Nestor Carbonell', 'Eric Roberts', 'Ritchie Coster', 'Anthony Michael Hall', 'Keith Szarabajka', 'Colin McFarlane', 'Joshua Harto']","['Jonathan Nolan', 'Christopher Nolan', 'David S. Goyer']","['Warner Bros.', 'Legendary Entertainment', 'Syncopy']","['Action', 'Crime', 'Drama', 'Thriller']","['dc comics', 'moral dilemma', 'psychopath', 'clown', 'superhero']","['English', 'Mandarin']","['United States', 'United Kingdom']",2008-08-29,152,1005973645,9.0,2500000,['PG-13'],2008,8,29,9.25,0,31271,1,1,3,1087,3,1,7,10,167,4
Star Wars: Episode IX - The Rise of Skywalker,2527338,275000000,"['Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Adam Driver', 'Carrie Fisher', 'Mark Hamill', 'Anthony Daniels', 'Naomi Ackie', 'Domhnall Gleeson', 'Richard E. Grant', ""Lupita Nyong'o"", 'Keri Russell', 'Joonas Suotamo', 'Kelly Marie Tran', 'Ian McDiarmid', 'Billy Dee Williams', 'Greg Grunberg', 'Shirley Henderson']","['Chris Terrio', 'J.J. Abrams', 'Derek Connolly']","['Walt Disney Pictures', 'Lucasfilm', 'Bad Robot']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['evil', 'dark side', 'return of dead character', 'villain not really dead cliche', 'shame']",['English'],['United States'],2020-01-03,141,1074149279,6.5,412000,['PG-13'],2020,1,3,16.5,0,43542,8,1,3,1147,3,1,4,1,0,4
Rogue One,3748528,200000000,"['Felicity Jones', 'Diego Luna', 'Alan Tudyk', 'Donnie Yen', 'Wen Jiang', 'Ben Mendelsohn', 'Guy Henry', 'Forest Whitaker', 'Riz Ahmed', 'Mads Mikkelsen', 'Jimmy Smits', 'Alistair Petrie', ""Genevieve O'Reilly"", 'Ben Daniels', 'Paul Kasey', 'Stephen Stanton', 'Ian McElhinney', 'Fares Fares']","['Chris Weitz', 'Gareth Edwards', 'John Knoll', 'Tony Gilroy']","['Lucasfilm', 'Walt Disney Pictures', 'Allison Shearmur Productions']","['Action', 'Adventure', 'Sci-Fi']","['star wars', 'loss of loved one', 'female criminal', 'female prisoner', 'hatred']",['English'],['United States'],2016-12-16,133,1056057720,7.8,589000,['PG-13'],2016,12,16,16.333333333333332,1,21820,2,0,3,899,2,1,4,1,0,4
