Money,Count
18580682439,83
15200028143,54
14407657895,44
12294639242,29
11942043248,33
11706960051,21
11534978119,24
11377665287,30
11214598505,24
10944196005,31
10901732486,31
10859204803,29
10789030640,49
10568496844,26
10515167439,42
10397736669,65
10397465314,48
10374123960,47
9956245945,19
9927650088,43
9895376301,22
9588394380,40
9506487280,50
9503612409,29
9303302309,14
9160341196,22
9119792430,19
9030883469,24
9000896259,31
8930459587,50
8926096047,15
8776216130,13
8727537283,11
8651616098,18
8631926648,29
8534225872,30
8474182724,10
8418727061,59
8327841635,15
8168309228,18
8142045579,49
8099320727,19
8005355699,13
7958459777,43
7903327774,31
7839808584,41
7786412658,8
7668338102,9
7656434275,29
7542197811,59
7534075915,42
7526621864,18
7517570060,28
7382102075,33
7359406193,31
7278884954,8
7253133309,45
7217268565,39
7209733506,23
7206028513,61
7190215259,22
7172605315,39
7123267365,54
7102370101,31
7042510627,43
7011573068,34
6986333032,45
6984219579,38
6981237997,33
6972598655,24
6960850229,54
6921621954,27
6871351638,28
6831887155,25
6826509749,47
6813667877,20
6784535358,29
6736431513,14
6722811414,77
6694664393,13
6670589033,24
6654463644,54
6629832810,31
6603288432,33
6596874914,31
6553058077,13
6530166573,25
6528426103,30
6512877765,32
6492352276,42
6488815413,36
6468101370,19
6414279967,18
6414236016,43
6353733665,34
6352213642,24
6293134292,45
6283752613,27
6271238098,24
6262979378,36
6255147394,35
6229770467,16
6209206084,7
6192676993,14
6183163195,27
6178340420,48
6095985966,28
6072646641,12
6051060185,19
6046395189,24
6034835499,35
6029019060,22
6019264965,62
5925264695,39
5885413994,23
5880932826,43
5875247765,46
5854613788,24
5837825114,33
5833265574,57
5794306483,32
5773656052,26
5769755247,15
5760214299,45
5729735772,20
5721213329,23
5708485541,41
5692405815,15
5672552885,16
5665691208,49
5661235660,35
5641563147,24
5606695104,28
5591086752,43
5585225824,48
5548167224,17
5534509137,34
5507667655,45
5498208117,16
5493372333,36
5481679003,25
5469092862,27
5450285298,45
5440007313,32
5426810388,39
5424146395,36
5411531556,21
5389466082,24
5376099909,13
5368626803,15
5360503854,32
5345782628,16
5306588285,30
5306579938,29
5302783948,32
5290986188,47
5284651551,12
5280595995,36
5236666183,24
5227501496,17
5211516726,7
5209166283,18
5202159789,33
5192077448,24
5176352882,48
5159686126,19
5147639022,37
5144255347,33
5141168317,44
5141167570,39
5137164892,23
5125402030,34
5113229239,41
5100452570,54
5094650120,56
5080835116,7
5060757073,11
5050525520,10
5049350762,33
5031676760,37
5029715583,38
5027817885,42
5016380046,33
5003427934,15
5001809161,29
4999037189,20
4974464200,34
4950605935,14
4936032291,25
4924247264,35
4910960202,47
4901934164,12
4899834425,42
4891866963,24
4869294616,4
4856240468,13
4852874984,35
4848067320,44
4837517478,7
4833258817,43
4818268330,8
4789872285,16
4782849034,36
4779428589,22
4774895898,22
4765495143,31
4757470282,51
4727481379,27
4673476632,31
4655628995,14
4649279726,25
4643803091,36
4629728048,33
4614057220,26
4612958656,5
4594871856,34
4583697903,18
4559983957,30
4543248697,24
4536379741,50
4535768678,45
4532971149,54
4497853534,9
4468584834,32
4464079100,10
4460318627,32
4443674191,26
4431320001,24
4426659711,24
4426220373,28
4420857257,18
4420466058,26
4408270312,12
4403440094,21
4374268609,34
4361194149,6
4358857252,31
4357227908,20
4355695030,35
4352620541,44
4344181464,34
4333606641,9
4327509247,8
4312156665,47
4308543119,32
4302736484,11
4300079042,29
4296100096,32
4295637989,6
4283356330,19
4273808393,26
4272294260,41
4249251304,32
4246711752,34
4245790864,46
4210068047,18
4179446229,27
4173320210,30
4171906655,30
4168212235,30
4166073160,41
4141160456,55
4128599932,19
4127616107,15
4127179362,34
4115652729,22
4110730560,7
4105628256,13
4078047409,5
4068455502,16
4067815108,21
4067805423,7
4061932642,26
4061444698,19
4061320307,15
4054881991,35
4041411631,11
4037313313,27
4036282593,30
4020783203,19
4019389792,23
4010811239,24
3999783821,7
3984085421,23
3965947813,38
3965438755,48
3961464985,14
3955710772,33
3950882578,22
3950185688,12
3937560630,41
