Money,Count
69222893046,214
67324250819,486
65634910319,514
55195232415,451
53369131398,424
47404197759,345
25655211119,247
23795322645,26
19119506742,119
17896897965,89
17857818374,52
17696116230,220
16447284307,69
16258893192,122
15477011897,38
15026208696,193
14963159760,49
14528032320,22
13946129283,131
12714586014,25
10652281709,18
10241298622,77
9601318003,29
9059184743,16
8540174586,33
8035755535,70
7803967379,68
7670130190,74
7453989475,35
7097117895,41
6930924763,13
6843737176,12
6754939278,9
6693236668,10
6639736420,141
6547498572,120
6047199161,19
5976905257,16
5921771636,77
5810022618,15
5749115850,13
5682625404,26
5662432683,45
5374295276,13
5304202301,13
5188983792,41
5127815336,23
5119404864,50
5098583429,12
4945547541,16
4810523827,27
4681948462,20
4533159609,18
4498603709,16
4422406899,24
4411673847,19
4338128462,19
4334997939,55
4277232783,21
4203569083,31
4106074746,71
4097149965,67
4094073243,16
4080723846,47
3971114702,78
3934247221,24
3929733833,31
3918576512,8
3875151588,11
3821294098,63
3800090159,41
3775191007,6
3688264707,61
3683545445,92
3674365439,24
3599911580,38
3524604369,29
3465513834,6
3426502210,81
3423624506,5
3292998907,25
3261582100,81
3256780590,8
3230152725,10
3211493606,43
3078386440,8
3026477642,9
3011308291,33
3010400666,14
3007115168,6
2990777552,17
2924198245,15
2911863202,11
2857001578,25
2833904213,14
2750842062,9
2748553691,23
2746467049,52
2718035393,33
2684477729,36
2677882416,3
2628107356,30
2548107072,8
2442992052,8
2437660004,32
2428432522,8
2267236529,16
2194140402,37
2193099082,13
2192126174,21
2181610885,6
2173078108,9
2148428663,32
2123834603,4
2104234847,33
2103048913,5
2089628042,10
2073073304,29
2070711617,28
2069521700,1
2048359754,1
2048359754,1
2027176239,2
1982017483,6
1958428580,41
1928217227,11
1924849313,6
1924248078,17
1921527481,3
1890160933,77
1883899251,5
1867149490,11
1865977980,17
1863985603,3
1862124839,67
1862006292,15
1846685110,3
1846112544,38
1842614626,51
1818822425,6
1808521980,22
1762602652,2
1752497345,12
1750275080,17
1717316174,10
1708010564,25
1698240701,3
1695344331,13
1692483829,9
1692459493,8
1680244582,13
1676309433,14
1662899439,1
1640806073,3
1632211370,27
1625871017,23
1618827193,21
1605180663,17
1570317951,2
1565067474,2
1554211146,17
1546013473,2
1531867139,11
1524586943,4
1524296062,30
1513378398,29
1486370778,2
1485091972,15
1457524698,10
1429085469,10
1423752949,8
1414936092,4
1412450075,10
1408121060,9
1404934275,11
1403243377,9
1392790934,5
1376069276,19
1360899862,40
1356458891,4
1350700959,15
1343373400,18
1339920142,18
1338229594,2
1334539478,12
1322644161,36
1312047052,7
1310269276,18
1303589576,5
1298319683,8
1295186300,6
1286098383,22
1284033190,5
1278976411,3
1267966480,11
1258277915,9
1250770418,4
1245937761,2
1233226716,11
1232625705,22
1223329957,12
1220923353,19
1220799860,5
1211314808,12
1207784202,21
1203555536,12
1201408660,33
1195322940,5
1188278295,9
1174891013,7
1169634771,16
1168682461,24
1153337496,1
1152248402,22
1149848943,4
1137196473,7
1136500722,27
1126045283,6
1111470122,11
1101601989,6
1099026000,5
1090403245,19
1083046462,12
1063091653,6
1050693953,1
1045924977,7
1040607519,14
1037816390,7
1035476358,6
1033829745,8
1031518420,5
1028561161,7
1024931781,4
1023540389,10
1020789231,29
1019108829,27
1018490548,20
1007695694,8
1005976176,11
1004860251,8
1002692735,11
1002423428,10
999471910,9
997464189,10
986588100,6
975965118,8
970078512,5
969260941,17
966812807,10
963970944,6
962176924,11
958860697,9
952941739,5
943482754,13
942172396,1
934589244,10
932895236,29
925905686,20
925890393,13
924897054,26
918627363,8
906709034,4
905458062,11
900811709,3
900339900,5
896678241,1
890508419,6
884822555,9
883481121,12
880681519,1
875212209,11
871376685,10
870325439,1
870325439,1
870071074,13
868390560,1
866254312,6
863558293,19
858532119,8
857747464,16
853983911,1
852421677,3
843475800,6
843387552,6
842622961,11
840375504,3
828428246,13
827862203,3
826507936,7
825549660,3
825254208,2
822897589,7
818023584,10
813708598,5
812200844,12
811469059,3
809726232,18
806754567,2
804103926,3
800318092,6
800055102,51
796698262,21
792571418,16
792471011,8
792067351,5
791217826,1
778779746,4
777812561,8
776400695,16
773350147,1
769580787,10
765545508,7
759056935,1
755356711,1
754815916,5
752484964,22
743322431,8
742224012,2
741813479,3
737751350,10
737679475,18
734986586,25
731718394,8
730634236,4
727756255,14
726264074,1
726264074,1
726264074,1
726229501,1
726229501,1
726229501,1
719357309,26
715732435,26
715665189,9
712205856,1
711306996,7
710644566,1
707390895,11
703904109,13
703607468,2
699992512,1
697899634,9
697794196,14
693760037,7
691413112,7
689603226,2
689556026,3
688470355,9
688407306,5
687775244,3
684060536,5
681593168,5
681016040,3
678997065,3
673582819,24
671417127,5
670750693,8
667783784,5
666679398,6
664726581,4
659969771,13
657073841,8
655988642,13
655332171,11
653779970,1
652564772,4
650104504,15
648535498,3
647413115,2
647281776,10
647091054,2
646099463,17
643572704,4
640389660,4
636575967,4
635722509,5
631746197,1
631473289,4
629443428,1
628565801,9
628329512,10
627338447,3
626756675,7
626525396,7
623571334,3
622674139,1
617085671,9
616502912,1
616307630,3
615999872,5
614965526,6
611257819,1
605385352,4
599507871,25
598974042,34
597316509,7
595893589,3
594145644,3
589735564,3
582720988,7
580239789,2
579330426,1
579330426,1
579044366,3
578300906,16
572241159,3
570415499,15
567809716,2
563891154,8
563526398,8
562932904,8
562448514,2
560897990,6
559852948,7
558331148,12
556906378,1
553810228,1
553810228,1
553448942,14
553078947,14
549688823,2
548522953,10
546388108,1
544277829,3
544185156,1
544185156,1
542358331,1
540902206,4
537568681,14
536414293,1
536399353,10
536172224,3
532846720,3
532518294,11
531225058,7
531069418,3
530438278,1
530438278,1
529067511,20
528772298,6
528583774,1
527784962,7
527016307,1
526994608,7
524313792,6
523387067,3
521442769,8
521170825,1
519333833,8
515923774,13
515650987,5
514160827,4
513693113,10
513377515,3
512599116,1
511169228,3
509602171,3
506225934,7
504896985,9
501664509,2
501565519,14
500838698,3
500125976,2
498666520,2
497409852,1
496036944,6
494883245,14
493709049,10
491869300,3
489996151,14
487876268,20
487651334,4
487379327,15
486468506,12
484903735,9
483702458,7
482473711,7
480386187,6
479476292,6
478704723,4
478318112,6
478187977,3
477974176,7
474904961,6
473093228,1
472600945,5
471372484,2
470092173,2
468587932,3
466253159,2
465638300,2
465268453,12
464728858,18
462851684,3
462477214,6
458698335,14
455423169,14
455393700,2
455027864,11
453550004,4
452974619,1
452974619,1
452897358,4
452264822,5
449912295,11
446244156,4
444979970,9
444100035,1
443891606,4
443280904,1
442299309,1
441857596,4
441306145,1
440710518,5
440484629,7
439729121,3
438636442,2
437475202,8
437395662,12
436188866,1
435209637,5
433514834,1
429622770,4
428028233,1
427809025,10
427374317,1
426588510,1
426438290,11
425933968,4
425613336,2
423753278,5
422872625,4
422393710,48
419665568,1
418765519,1
418282570,13
418090967,3
417160886,4
415564672,6
414752537,3
414467787,6
413508688,16
409705481,10
409231607,1
408637309,2
408637309,2
407312962,3
406475319,15
404417876,5
404069307,5
403630633,6
403306876,11
402614321,7
402494505,2
400063852,1
398479497,1
397457203,3
396679721,11
396271103,1
393505163,10
392499439,2
392335906,7
390981530,3
388563125,29
387108216,20
386937076,2
385990325,5
384824645,4
383372328,17
383263829,4
381913570,8
380001524,7
379887085,21
379700917,2
378925813,2
376286991,4
375629973,3
371353001,1
370443742,5
368744044,1
366429341,3
366358420,2
365915168,4
364520324,2
363912914,20
363889678,1
362332222,19
360696188,13
360131039,4
359162490,27
359126022,1
358180115,1
358180115,1
357641288,33
354966374,4
353642274,1
353284621,1
352994598,6
352333929,1
352114312,1
351723989,1
349822765,1
349608602,2
348611306,3
347428690,3
347325802,1
347017372,6
346658814,11
346311705,6
345573032,1
345344792,3
345244425,2
345167458,4
344592551,10
344054782,2
341119590,3
340952971,1
340487836,1
338552601,3
337520319,8
336722541,3
335024896,2
334933831,1
330444045,1
330283752,6
329475861,4
329307382,3
329089933,2
327901044,2
327770957,3
327333559,1
326267455,10
326243002,3
325188671,3
324992245,7
324338147,4
322619109,7
321752656,1
320689294,1
320679726,6
320290989,1
319715683,1
318625541,15
317726609,19
317474875,2
316010696,4
314795419,8
314524904,10
314489878,8
314340843,4
311605581,1
309941559,6
309840364,6
309492681,1
309208309,1
307592427,1
306954690,2
306889114,1
304712861,6
304654182,1
303306016,2
303196209,2
302718912,3
301970083,1
301425740,2
301054223,8
300490200,4
300135367,1
300069634,2
299448413,3
299288605,1
299178928,3
298779793,6
297718711,1
297372261,1
296938801,1
296376193,2
296366316,3
293698245,2
293514336,1
293368388,15
292817898,1
291361993,6
290835269,1
289022954,3
288627555,4
288563250,2
288390540,4
287928194,1
286168572,1
285553018,2
285155746,4
284237216,11
284152708,3
282370984,2
282140893,2
282103861,13
281386243,4
280727789,4
280223840,2
279141482,13
279006074,5
278706428,2
278685190,7
278009102,2
277224177,3
276956323,3
276685052,6
276232776,4
275836815,2
275698039,1
275321983,3
274654837,8
274650803,1
274554933,2
274533601,13
274409148,2
274402856,3
273975299,6
273120366,8
273083547,4
272742922,1
272046651,2
271701848,5
271672712,2
271015875,7
270557830,2
270188524,15
269994119,1
269958228,1
268426634,1
264305296,7
263623483,6
262327068,25
262325693,3
262154152,4
261989769,1
261892869,7
261319338,3
261245030,2
261183588,1
261183588,1
261031683,5
260049870,3
259334548,1
258718496,8
258692264,4
258539804,2
258097122,1
257938649,1
257179757,4
256967228,2
256814206,2
256283912,1
256283912,1
255797758,2
255614941,1
255000211,1
254053589,2
253625427,1
252909177,1
252712101,1
251618453,5
251212670,1
251035366,2
250823716,12
250679016,6
249747070,2
249704919,9
248979270,6
248656014,2
248344430,2
247585244,1
246620632,2
246505168,8
246201308,3
246172043,16
246120986,1
246004097,2
245507817,2
245144417,1
245144417,1
244366406,4
244323729,3
244057547,4
243704424,3
243520828,14
243214205,4
243214205,4
243189046,5
242389238,2
242033028,2
241564280,5
241410788,5
241348161,7
240897068,4
240797623,1
240697856,1
240312422,7
240159255,1
240159255,1
240074244,3
239150429,4
239014086,4
239000000,1
239000000,1
238645532,2
238539198,1
238364971,12
238124936,8
236214446,1
235860116,1
235719605,3
234992341,7
234801895,1
234761251,11
234079740,9
233555708,1
233121187,4
232771783,8
232471439,4
232225908,1
231976425,1
231800711,2
231388207,7
231349578,2
230640086,3
230418342,1
229998492,7
229907751,8
229868785,11
229036375,4
228934825,13
228755332,6
228496557,11
228122928,1
227987501,3
227817248,1
227091290,1
226899483,19
226651574,6
226191008,8
225973340,1
225933435,1
225604262,3
225508210,1
225336536,3
224937594,3
224656311,2
223855849,15
223853736,1
223292562,3
223052384,7
222982474,7
222724172,1
222667878,2
222446882,1
222387767,2
222104681,1
222104681,1
222104681,1
222029788,3
221894639,2
221891942,3
220673217,1
219289807,2
219167414,5
218340595,1
218122627,1
