Movie_Title,ListOfCertificate
The Dark Knight,"PG-13,TV-14"
Kill Bill: Vol. 2,"R,TV-MA,TV-14"
Man of Steel,"PG-13,TV-PG"
Captain America: Civil War,PG-13
Blade Runner,R
I Am Legend,"PG-13,TV-14"
Indiana Jones and the Last Crusade,PG-13
Star Wars: Episode III - Revenge of the Sith,"PG-13,TV-14"
300,R
Captain America: The Winter Soldier,PG-13
Spider-Man,"PG-13,TV-PG,TV-14"
Captain America: The First Avenger,"PG-13,TV-PG"
The Revenant,R
Iron Man 2,"PG-13,TV-14"
Star Wars: Episode I - The Phantom Menace,"PG,TV-PG"
Iron Man 3,PG-13
Gravity,PG-13
Avengers: Age of Ultron,PG-13
Thor,"PG-13,TV-14"
The Terminator,"R,TV-14"
Men in Black,PG-13
Die Hard,"R,TV-MA,TV-14"
Oldboy,R
The Matrix Reloaded,R
The Hunger Games,PG-13
Independence Day,"PG-13,TV-14"
Harry Potter and the Order of the Phoenix,PG-13
Kick-Ass,R
Zombieland,"R,TV-14"
John Wick,R
Spider-Man: Homecoming,"PG-13,TV-PG,TV-14"
Looper,R
X-Men,PG-13
"Lock, Stock and Two Smoking Barrels",R
Rogue One: A Star Wars Story,PG-13
Spider-Man 2,"PG-13,TV-PG"
Taken,"PG-13,TV-14"
Star Wars: Episode VIII - The Last Jedi,PG-13
The Amazing Spider-Man,"PG-13,TV-PG,TV-14"
Star Trek,PG-13
The Day After Tomorrow,PG-13
Dunkirk,PG-13
Drive,"R,TV-14"
Venom,"PG-13,TV-MA"
Jurassic World,"PG-13,TV-14"
Elysium,R
Tenet,PG-13
Spider-Man: Into the Spider-Verse,PG
Sherlock Holmes: A Game of Shadows,PG-13
Big Hero 6,"TV-G,PG,TV-PG"
The Hunger Games: Mockingjay - Part 1,PG-13
The Amazing Spider-Man 2,"PG-13,TV-PG"
Indiana Jones and the Kingdom of the Crystal Skull,PG-13
The Maze Runner,PG-13
The Fifth Element,"PG-13,TV-PG"
Kung Fu Panda,"PG,TV-PG"
The Wolverine,"PG-13,TV-14"
Warrior,PG-13
The Bourne Supremacy,PG-13
Fury,R
Divergent,PG-13
Cloud Atlas,R
Rush,R
Batman,"PG-13,TV-PG,TV-14"
The Equalizer,"R,TV-14"
Quantum of Solace,PG-13
The Italian Job,PG-13
Mission: Impossible - Rogue Nation,PG-13
Dune,PG-13
Men in Black II,PG-13
Ant-Man and the Wasp,PG-13
2012,PG-13
22 Jump Street,"R,TV-14"
Face/Off,"R,TV-14"
The Mask,"PG,PG-13,TV-PG,TV-14"
Fast Five,PG-13
Princess Mononoke,"PG-13,TV-14"
Wanted,R
Furious 7,"PG-13,TV-14"
The Fast and the Furious,"PG-13,TV-PG"
The Expendables 2,"R,TV-14"
Die Hard with a Vengeance,"R,TV-14,TV-MA"
Black Hawk Down,R
From Dusk Till Dawn,R
RED,PG-13
Shazam!,"PG-13,TV-PG"
Kong: Skull Island,PG-13
Apocalypto,"R,TV-MA"
Deja Vu,PG-13
The Book of Eli,"R,TV-14"
Lord of War,R
The Nice Guys,R
Salt,"PG-13,TV-MA"
10 Cloverfield Lane,PG-13
The Hunger Games: Mockingjay - Part 2,PG-13
Jurassic Park III,PG-13
Transformers: Age of Extinction,PG-13
The Island,PG-13
Blade,R
Hulk,PG-13
Robin Hood,PG-13
Underworld,R
Creed,"PG-13,TV-PG"
Resident Evil,R
Kick-Ass 2,R
Hellboy II: The Golden Army,PG-13
"Crouching Tiger, Hidden Dragon",PG-13
John Carter,PG-13
Now You See Me 2,PG-13
Dredd,R
2 Fast 2 Furious,PG-13
The Patriot,R
Olympus Has Fallen,R
Kung Fu Panda 2,"TV-G,PG,TV-PG"
Terminator Genisys,"PG-13,TV-14"
The Lone Ranger,PG-13
A History of Violence,R
Ghost Rider,PG-13
Ender's Game,PG-13
The Boondock Saints,R
Predestination,R
I Am Number Four,PG-13
Pitch Black,R
End of Watch,R
Enemy of the State,"R,TV-14"
The Tourist,"AO,PG-13"
Maze Runner: The Scorch Trials,PG-13
Escape Plan,"R,TV-14"
Sucker Punch,"R,PG-13"
The Twilight Saga: Eclipse,PG-13
Spy,"R,TV-14"
Star Trek Beyond,PG-13
G.I. Joe: The Rise of Cobra,"PG-13,TV-14"
2 Guns,R
Teenage Mutant Ninja Turtles,"PG-13,TV-PG,TV-14"
A Fistful of Dollars,"R,M"
King Arthur: Legend of the Sword,PG-13
Blade II,R
Planet Terror,"R,TV-MA"
El Camino: A Breaking Bad Movie,TV-MA
Rush Hour 2,"PG-13,TV-14"
Everest,PG-13
Pain & Gain,R
Ghost in the Shell,PG-13
The Karate Kid,"PG,TV-PG"
Gangster Squad,R
Get Smart,PG-13
Rocky Balboa,"PG,TV-PG"
Master and Commander: The Far Side of the World,PG-13
Swordfish,R
Eagle Eye,PG-13
Goldfinger,"Approved,GP,PG,TV-PG"
Jarhead,"R,TV-14"
Stargate,PG-13
Extraction,R
Jupiter Ascending,PG-13
Wrath of the Titans,PG-13
Charlie's Angels,"PG-13,TV-14"
Atomic Blonde,R
Dracula Untold,PG-13
Godzilla,PG-13
Knight and Day,PG-13
Robin Hood: Prince of Thieves,PG-13
Twister,"PG-13,TV-14"
Taken 3,"PG-13,TV-14"
Tomorrow Never Dies,PG-13
Air Force One,R
Demolition Man,R
The Heat,R
The Iron Giant,"PG,TV-Y7-FV,TV-Y,TV-PG"
Inferno,PG-13
Superman,"PG,TV-PG"
Lethal Weapon 2,"R,TV-14"
Godzilla: King of the Monsters,PG-13
Point Break,"R,TV-PG"
30 Days of Night,R
The Legend of Tarzan,PG-13
American Made,R
Blade: Trinity,R
Deep Impact,PG-13
X-Men: Dark Phoenix,PG-13
Surrogates,PG-13
The Karate Kid,"PG,TV-PG"
The League of Extraordinary Gentlemen,"PG-13,TV-14"
Valerian and the City of a Thousand Planets,PG-13
Radhe,TV-MA
Independence Day: Resurgence,"PG-13,TV-MA"
Mad Max 2: The Road Warrior,R
Upgrade,R
Central Intelligence,"TV-14,PG-13,TV-MA"
Monsters vs. Aliens,"PG,TV-PG"
Army of the Dead,R
Bumblebee,PG-13
Commando,"R,TV-14,TV-MA"
Next,PG-13
Dune,PG-13
Johnny English,PG
